patch_name,correctness,prediction
Math_79_repairllama-ir4_patch_7.diff,overfitting,overfitting
Math_2_repairllama-ir4_patch_3.diff,correct,correct
Chart_11_repairllama-ir4_patch_8.diff,correct,correct
Closure_13_repairllama-ir4_patch_3.diff,correct,correct
Math_32_repairllama-ir4_patch_2.diff,overfitting,overfitting
Math_28_repairllama-ir4_patch_7.diff,overfitting,overfitting
Math_50_repairllama-ir4_patch_1.diff,overfitting,correct
Math_79_repairllama-ir4_patch_2.diff,overfitting,overfitting
Math_80_repairllama-ir4_patch_0.diff,correct,correct
Math_32_repairllama-ir4_patch_9.diff,overfitting,overfitting
Math_70_repairllama-ir4_patch_8.diff,correct,correct
Chart_13_repairllama-ir4_patch_5.diff,overfitting,correct
Closure_13_repairllama-ir4_patch_0.diff,correct,correct
Chart_1_repairllama-ir4_patch_6.diff,overfitting,overfitting
Math_34_repairllama-ir4_patch_2.diff,overfitting,correct
Time_7_repairllama-ir4_patch_9.diff,overfitting,overfitting
Math_57_repairllama-ir4_patch_5.diff,overfitting,correct
Math_101_repairllama-ir4_patch_2.diff,overfitting,correct
Chart_26_repairllama-ir4_patch_5.diff,correct,correct
Lang_51_repairllama-ir4_patch_3.diff,overfitting,correct
Math_85_repairllama-ir4_patch_0.diff,correct,overfitting
Closure_86_repairllama-ir4_patch_7.diff,overfitting,correct
Math_41_repairllama-ir4_patch_5.diff,correct,correct
Math_101_repairllama-ir4_patch_0.diff,overfitting,correct
Mockito_38_repairllama-ir4_patch_4.diff,correct,correct
Lang_59_repairllama-ir4_patch_6.diff,overfitting,overfitting
Closure_86_repairllama-ir4_patch_8.diff,overfitting,correct
Math_32_repairllama-ir4_patch_5.diff,overfitting,overfitting
Chart_9_repairllama-ir4_patch_7.diff,correct,correct
Chart_4_repairllama-ir4_patch_5.diff,overfitting,correct
Closure_86_repairllama-ir4_patch_1.diff,correct,correct
Lang_43_repairllama-ir4_patch_1.diff,overfitting,correct
Lang_43_repairllama-ir4_patch_5.diff,overfitting,correct
Math_79_repairllama-ir4_patch_8.diff,correct,overfitting
Chart_1_repairllama-ir4_patch_1.diff,overfitting,overfitting
Math_79_repairllama-ir4_patch_3.diff,overfitting,overfitting
Lang_45_repairllama-ir4_patch_9.diff,overfitting,correct
Chart_11_repairllama-ir4_patch_7.diff,correct,correct
Math_11_repairllama-ir4_patch_6.diff,overfitting,correct
Math_11_repairllama-ir4_patch_5.diff,overfitting,correct
Chart_12_repairllama-ir4_patch_0.diff,correct,correct
Math_8_repairllama-ir4_patch_6.diff,correct,overfitting
Lang_45_repairllama-ir4_patch_1.diff,overfitting,correct
Math_59_repairllama-ir4_patch_2.diff,correct,correct
Math_34_repairllama-ir4_patch_0.diff,overfitting,correct
Closure_115_repairllama-ir4_patch_1.diff,correct,overfitting
Closure_86_repairllama-ir4_patch_9.diff,overfitting,correct
Lang_59_repairllama-ir4_patch_2.diff,correct,overfitting
Lang_59_repairllama-ir4_patch_9.diff,overfitting,overfitting
Math_57_repairllama-ir4_patch_1.diff,overfitting,correct
Chart_1_repairllama-ir4_patch_0.diff,correct,overfitting
Chart_26_repairllama-ir4_patch_9.diff,correct,overfitting
Math_30_repairllama-ir4_patch_3.diff,overfitting,correct
Lang_43_repairllama-ir4_patch_9.diff,overfitting,correct
Math_32_repairllama-ir4_patch_7.diff,overfitting,overfitting
Math_41_repairllama-ir4_patch_8.diff,correct,correct
Chart_1_repairllama-ir4_patch_9.diff,overfitting,overfitting
Math_75_repairllama-ir4_patch_2.diff,correct,correct
Math_28_repairllama-ir4_patch_2.diff,overfitting,overfitting
Math_82_repairllama-ir4_patch_0.diff,correct,overfitting
Math_69_repairllama-ir4_patch_8.diff,correct,overfitting
Closure_10_repairllama-ir4_patch_1.diff,correct,correct
Chart_7_repairllama-ir4_patch_2.diff,overfitting,overfitting
Closure_57_repairllama-ir4_patch_1.diff,correct,correct
Chart_1_repairllama-ir4_patch_3.diff,overfitting,overfitting
Time_7_repairllama-ir4_patch_1.diff,overfitting,overfitting
Chart_4_repairllama-ir4_patch_0.diff,correct,correct
Math_57_repairllama-ir4_patch_4.diff,overfitting,overfitting
Chart_12_repairllama-ir4_patch_1.diff,overfitting,correct
Lang_33_repairllama-ir4_patch_8.diff,overfitting,correct
Math_85_repairllama-ir4_patch_9.diff,overfitting,overfitting
Math_70_repairllama-ir4_patch_1.diff,correct,correct
Math_59_repairllama-ir4_patch_1.diff,overfitting,correct
Lang_45_repairllama-ir4_patch_8.diff,overfitting,correct
Lang_33_repairllama-ir4_patch_3.diff,overfitting,correct
Lang_43_repairllama-ir4_patch_2.diff,overfitting,correct
Chart_9_repairllama-ir4_patch_9.diff,correct,correct
Math_95_repairllama-ir4_patch_6.diff,overfitting,correct
Lang_45_repairllama-ir4_patch_4.diff,correct,correct
Math_84_repairllama-ir4_patch_1.diff,overfitting,overfitting
Math_82_repairllama-ir4_patch_5.diff,overfitting,overfitting
Closure_10_repairllama-ir4_patch_8.diff,overfitting,correct
Math_53_repairllama-ir4_patch_3.diff,correct,correct
Chart_13_repairllama-ir4_patch_3.diff,overfitting,correct
Closure_62_repairllama-ir4_patch_0.diff,correct,correct
Closure_86_repairllama-ir4_patch_5.diff,overfitting,correct
Closure_73_repairllama-ir4_patch_5.diff,overfitting,correct
Math_95_repairllama-ir4_patch_3.diff,overfitting,overfitting
Math_30_repairllama-ir4_patch_1.diff,correct,correct
Lang_33_repairllama-ir4_patch_2.diff,overfitting,correct
Lang_33_repairllama-ir4_patch_6.diff,overfitting,correct
Lang_33_repairllama-ir4_patch_4.diff,overfitting,correct
Chart_7_repairllama-ir4_patch_9.diff,correct,overfitting
Mockito_29_repairllama-ir4_patch_4.diff,correct,correct
Math_85_repairllama-ir4_patch_8.diff,overfitting,overfitting
Math_95_repairllama-ir4_patch_7.diff,overfitting,overfitting
