patch_name,correctness,prediction
Math_85_jGenProg_patch_108000_464.diff,overfitting,overfitting
Lang_59_jGenProg_patch_338815_2652.diff,overfitting,overfitting
Closure_46_jKali_patch_97000_207.diff,overfitting,overfitting
Math_2_Nopol_patch_245534_2.diff,overfitting,overfitting
Mockito_29_TBar_Patch_926897_102_cp47.diff,overfitting,overfitting
Lang_57_FixMiner_Patch_118372_22.diff,overfitting,overfitting
Lang_58_TBar_Patch_1321724_280_cp127.diff,overfitting,overfitting
Chart_18_SimFix_patch_73162_1.diff,overfitting,overfitting
Math_50_Avatar_Patch_105394_2.diff,overfitting,correct
Math_58_dynamoth_patch_97063_5.diff,overfitting,overfitting
Lang_51_jKali_patch_16409_30.diff,overfitting,overfitting
Math_28_jGenProg_patch_374000_212.diff,overfitting,overfitting
Math_58_dynamoth_patch_97056_2.diff,overfitting,overfitting
Chart_7_TBar_Patch_38176_2_cp2.diff,overfitting,overfitting
Math_58_dynamoth_patch_132005_14.diff,overfitting,overfitting
Chart_25_Avatar_Patch_2323425_429.diff,overfitting,overfitting
Lang_59_kPAR_Patch_426619_54_cp36.diff,overfitting,overfitting
Lang_59_jGenProg_patch_756179_5652.diff,overfitting,overfitting
Math_80_jKali_patch_32000_44.diff,overfitting,overfitting
Chart_5_dynamoth_patch_19277_1.diff,overfitting,overfitting
Time_7_Nopol_patch_558759_3.diff,overfitting,overfitting
Math_50_kPAR_Patch_3047938_107_cp86.diff,overfitting,correct
Lang_55_dynamoth_patch_135423_7.diff,overfitting,overfitting
Closure_46_dynamoth_patch_1209108_2.diff,overfitting,overfitting
Math_62_kPAR_Patch_1851733_178_cp93.diff,overfitting,overfitting
Math_70_FixMiner_Patch_815149_342.diff,overfitting,overfitting
Chart_25_jGenProg_patch_2955000_6070.diff,overfitting,overfitting
Lang_44_TBar_Patch_386167_140_cp30.diff,overfitting,overfitting
Lang_58_kPAR_Patch_1891979_240_cp168.diff,overfitting,overfitting
Chart_7_TBar_Patch_105993_8_cp8.diff,overfitting,overfitting
Lang_59_jGenProg_patch_1220081_9102.diff,overfitting,overfitting
Lang_58_kPAR_Patch_771272_118_cp66.diff,overfitting,overfitting
Chart_7_jGenProg_patch_107000_1016.diff,overfitting,overfitting
Math_50_jGenProg_patch_229000_72.diff,overfitting,overfitting
Time_7_Nopol_patch_23883_1.diff,overfitting,overfitting
Math_84_jMutRepair_patch_19000_12.diff,overfitting,overfitting
Mockito_29_TBar_Patch_946442_104_cp48.diff,overfitting,overfitting
Lang_58_jMutRepair_patch_22537_60.diff,overfitting,overfitting
Math_50_TBar_Patch_317345_16_cp10.diff,overfitting,correct
Lang_55_dynamoth_patch_135421_5.diff,overfitting,overfitting
Math_58_dynamoth_patch_97067_7.diff,overfitting,overfitting
Math_62_TBar_Patch_1119328_134_cp68.diff,overfitting,overfitting
Math_50_TBar_Patch_232465_13_cp7.diff,overfitting,correct
Math_33_Nopol_patch_260042_1.diff,overfitting,overfitting
Lang_59_jGenProg_patch_1013184_7598.diff,overfitting,overfitting
Closure_126_jKali_patch_0_2.diff,overfitting,overfitting
Math_71_dynamoth_patch_414468_3.diff,overfitting,overfitting
Math_82_jMutRepair_patch_15000_45.diff,overfitting,overfitting
Math_80_jKali_patch_83000_52.diff,overfitting,overfitting
Lang_51_dynamoth_patch_15045_2.diff,overfitting,overfitting
Math_50_kPAR_Patch_1642446_60_cp44.diff,overfitting,overfitting
Chart_9_Nopol_patch_17680_6.diff,overfitting,overfitting
Closure_22_jGenProg_patch_173000_178.diff,overfitting,overfitting
Closure_129_dynamoth_patch_80439_1.diff,overfitting,overfitting
Math_50_kPAR_Patch_1610258_59_cp43.diff,overfitting,overfitting
Lang_58_Avatar_Patch_675649_138.diff,overfitting,overfitting
Math_70_jGenProg_patch_23000_206.diff,overfitting,overfitting
Math_42_Nopol_patch_160907_1.diff,overfitting,overfitting
Math_81_Nopol_patch_26599_3.diff,overfitting,overfitting
Closure_13_jGenProg_patch_681000_312.diff,overfitting,overfitting
Math_50_SimFix_patch_50365_1.diff,overfitting,overfitting
Lang_55_Nopol_patch_84450_1.diff,overfitting,overfitting
Math_73_jGenProg_patch_84000_968.diff,overfitting,overfitting
Math_50_Nopol_patch_317995_2.diff,overfitting,overfitting
Math_33_dynamoth_patch_252122_2.diff,overfitting,overfitting
Chart_25_TBar_Patch_121343_58_cp8.diff,overfitting,overfitting
Lang_59_jGenProg_patch_633035_4780.diff,overfitting,overfitting
Chart_7_Avatar_Patch_44740_6.diff,overfitting,overfitting
Math_81_Nopol_patch_19439_1.diff,overfitting,overfitting
Math_50_kPAR_Patch_286068_4_cp4.diff,overfitting,correct
Chart_15_jKali_patch_2990000_1202.diff,overfitting,overfitting
Chart_26_jKali_patch_325000_270.diff,overfitting,overfitting
Math_105_Nopol_patch_17814_2.diff,overfitting,overfitting
Math_49_Avatar_Patch_61645_15.diff,overfitting,overfitting
Lang_58_kPAR_Patch_2331840_288_cp208.diff,overfitting,overfitting
Lang_58_kPAR_Patch_2507884_304_cp224.diff,overfitting,overfitting
Math_33_dynamoth_patch_252144_9.diff,overfitting,overfitting
Math_97_dynamoth_patch_209878_1.diff,overfitting,overfitting
Lang_55_dynamoth_patch_135417_3.diff,overfitting,overfitting
Math_50_jGenProg_patch_1369000_388.diff,overfitting,correct
Math_30_TBar_Patch_1978181_117_cp53.diff,overfitting,overfitting
Math_80_jKali_patch_54000_47.diff,overfitting,overfitting
Lang_58_FixMiner_Patch_522089_152.diff,overfitting,correct
Math_50_kPAR_Patch_1543423_57_cp41.diff,overfitting,overfitting
Math_50_jGenProg_patch_2437000_686.diff,overfitting,overfitting
Chart_7_kPAR_Patch_2800171_379_cp193.diff,overfitting,overfitting
Lang_58_TBar_Patch_1282777_276_cp123.diff,overfitting,overfitting
Lang_59_jGenProg_patch_467770_3668.diff,overfitting,overfitting
Math_33_Nopol_patch_275076_3.diff,overfitting,overfitting
Lang_58_TBar_Patch_1243363_272_cp119.diff,overfitting,overfitting
Chart_9_Nopol_patch_17000_5.diff,overfitting,overfitting
Closure_126_TBar_Patch_223242_7_cp2.diff,overfitting,overfitting
Lang_55_jKali_patch_117737_22.diff,overfitting,overfitting
Math_50_Avatar_Patch_138689_4.diff,overfitting,correct
Closure_21_dynamoth_patch_61749_1.diff,overfitting,overfitting
Lang_58_kPAR_Patch_760399_117_cp65.diff,overfitting,correct
Math_50_Avatar_Patch_71866_1.diff,overfitting,correct
Math_50_TBar_Patch_204334_12_cp6.diff,overfitting,correct
Math_50_kPAR_Patch_2884244_102_cp81.diff,overfitting,correct
Lang_59_jGenProg_patch_278000_2236.diff,overfitting,overfitting
Lang_57_FixMiner_Patch_107394_21.diff,overfitting,overfitting
Math_50_kPAR_Patch_353932_6_cp6.diff,overfitting,correct
Math_58_dynamoth_patch_127804_11.diff,overfitting,overfitting
Chart_7_kPAR_Patch_2674157_367_cp184.diff,overfitting,correct
Math_8_TBar_Patch_930853_24_cp12.diff,overfitting,overfitting
Closure_126_Nopol_patch_74782_3.diff,overfitting,correct
Lang_58_kPAR_Patch_2725681_324_cp244.diff,overfitting,overfitting
Lang_58_kPAR_Patch_2244947_280_cp200.diff,overfitting,overfitting
Math_30_TBar_Patch_2559594_147_cp69.diff,overfitting,correct
Lang_59_jGenProg_patch_737040_5566.diff,overfitting,overfitting
Chart_7_Avatar_Patch_86434_9.diff,overfitting,overfitting
Lang_55_dynamoth_patch_135428_10.diff,overfitting,overfitting
Lang_51_dynamoth_patch_14511_1.diff,overfitting,overfitting
Math_58_jMutRepair_patch_22000_107.diff,overfitting,overfitting
Math_50_kPAR_Patch_829044_26_cp20.diff,overfitting,overfitting
Math_30_FixMiner_Patch_583143_112.diff,overfitting,correct
Chart_25_jGenProg_patch_2294000_4820.diff,overfitting,overfitting
Lang_10_Avatar_Patch_2818599_1236.diff,overfitting,overfitting
Math_80_Nopol_patch_19272_2.diff,overfitting,overfitting
Lang_58_kPAR_Patch_2769121_328_cp248.diff,overfitting,overfitting
Lang_58_kPAR_Patch_1682665_217_cp149.diff,overfitting,overfitting
Math_50_jMutRepair_patch_0_4.diff,overfitting,overfitting
Chart_9_Nopol_patch_23206_10.diff,overfitting,overfitting
Math_50_kPAR_Patch_2312647_85_cp64.diff,overfitting,overfitting
Closure_62_Avatar_Patch_899469_12.diff,overfitting,overfitting
Lang_45_TBar_Patch_3250052_325_cp293.diff,overfitting,overfitting
Chart_9_Nopol_patch_14651_2.diff,overfitting,overfitting
Chart_7_kPAR_Patch_2772780_377_cp191.diff,overfitting,overfitting
Closure_46_dynamoth_patch_649139_1.diff,overfitting,overfitting
Closure_57_SimFix_patch_1154756_3.diff,overfitting,overfitting
Lang_58_kPAR_Patch_2266624_282_cp202.diff,overfitting,overfitting
Lang_58_SimFix_patch_29201_2.diff,overfitting,overfitting
Math_85_jMutRepair_patch_80000_99.diff,overfitting,overfitting
Math_80_jKali_patch_39000_45.diff,overfitting,overfitting
Math_84_jMutRepair_patch_1000_8.diff,overfitting,overfitting
Chart_9_Nopol_patch_22560_9.diff,overfitting,overfitting
Math_95_TBar_Patch_45130_10_cp4.diff,overfitting,overfitting
Closure_62_Nopol_patch_39174_1.diff,overfitting,overfitting
Lang_58_jMutRepair_patch_34092_71.diff,overfitting,overfitting
Math_30_TBar_Patch_2194123_123_cp59.diff,overfitting,overfitting
Lang_57_kPAR_Patch_91311_7_cp6.diff,overfitting,overfitting
Chart_26_Nopol_patch_56274_1.diff,overfitting,overfitting
Closure_126_Avatar_Patch_167299_1.diff,overfitting,overfitting
Math_50_TBar_Patch_345606_17_cp11.diff,overfitting,correct
Chart_12_SimFix_patch_78615_1.diff,overfitting,correct
Math_80_jKali_patch_47000_46.diff,overfitting,overfitting
Math_50_Avatar_Patch_306792_9.diff,overfitting,correct
Math_50_Nopol_patch_319666_3.diff,overfitting,overfitting
Math_41_dynamoth_patch_990745_131.diff,overfitting,overfitting
Chart_5_jKali_patch_2000_9.diff,overfitting,overfitting
Math_49_Nopol_patch_112674_1.diff,overfitting,overfitting
Math_50_TBar_Patch_374077_18_cp12.diff,overfitting,correct
Chart_7_SimFix_patch_1449223_3.diff,overfitting,overfitting
Chart_17_Nopol_patch_16724_1.diff,overfitting,overfitting
Chart_25_Avatar_Patch_2363590_455.diff,overfitting,overfitting
Math_2_dynamoth_patch_2724223_1.diff,overfitting,overfitting
Lang_44_Avatar_Patch_258954_81.diff,overfitting,overfitting
Lang_10_Avatar_Patch_318206_116.diff,overfitting,overfitting
Math_49_jKali_patch_12000_48.diff,overfitting,overfitting
Closure_126_jGenProg_patch_397000_548.diff,overfitting,overfitting
Chart_25_Avatar_Patch_2253717_418.diff,overfitting,overfitting
Lang_59_jGenProg_patch_24000_146.diff,overfitting,overfitting
Math_58_dynamoth_patch_97068_8.diff,overfitting,overfitting
Closure_126_Nopol_patch_84822_4.diff,overfitting,overfitting
Math_82_jGenProg_patch_696000_3456.diff,overfitting,overfitting
Math_28_dynamoth_patch_466005_1.diff,overfitting,overfitting
Math_88_kPAR_Patch_526592_155_cp50.diff,overfitting,overfitting
Chart_7_TBar_Patch_81372_6_cp6.diff,overfitting,overfitting
Math_80_jMutRepair_patch_240000_394.diff,overfitting,overfitting
Closure_10_jMutRepair_patch_468000_294.diff,overfitting,overfitting
Math_50_kPAR_Patch_319574_5_cp5.diff,overfitting,correct
Lang_51_Nopol_patch_19291_2.diff,overfitting,overfitting
Math_58_dynamoth_patch_97053_1.diff,overfitting,overfitting
Closure_21_Avatar_Patch_682558_32.diff,overfitting,overfitting
Math_50_kPAR_Patch_1876857_70_cp51.diff,overfitting,overfitting
Math_32_jKali_patch_2000_8.diff,overfitting,overfitting
Closure_126_dynamoth_patch_75311_2.diff,overfitting,correct
Math_80_jMutRepair_patch_285000_442.diff,overfitting,overfitting
Lang_57_FixMiner_Patch_84093_17.diff,overfitting,correct
Closure_126_jKali_patch_23000_5.diff,overfitting,overfitting
Lang_58_kPAR_Patch_1793658_231_cp159.diff,overfitting,overfitting
Lang_59_jGenProg_patch_585261_4438.diff,overfitting,overfitting
Chart_25_dynamoth_patch_16849_1.diff,overfitting,overfitting
Closure_62_TBar_Patch_877921_15_cp15.diff,overfitting,overfitting
Chart_9_Nopol_patch_18342_7.diff,overfitting,overfitting
Lang_58_kPAR_Patch_1804587_232_cp160.diff,overfitting,overfitting
Chart_13_Nopol_patch_38818_4.diff,overfitting,overfitting
Math_33_dynamoth_patch_252141_8.diff,overfitting,overfitting
Chart_7_jMutRepair_patch_8000_32.diff,overfitting,overfitting
Lang_58_Nopol_patch_25529_2.diff,overfitting,overfitting
Math_30_TBar_Patch_2230742_124_cp60.diff,overfitting,overfitting
Lang_58_kPAR_Patch_2551426_308_cp228.diff,overfitting,overfitting
Math_50_kPAR_Patch_896756_28_cp22.diff,overfitting,overfitting
Math_33_dynamoth_patch_252133_5.diff,overfitting,overfitting
Chart_7_jGenProg_patch_911000_9130.diff,overfitting,overfitting
Math_41_Nopol_patch_216727_1.diff,overfitting,overfitting
Math_80_Avatar_Patch_2221332_1046.diff,overfitting,overfitting
Closure_62_Avatar_Patch_761284_10.diff,overfitting,correct
Closure_22_jKali_patch_84000_37.diff,overfitting,overfitting
Lang_51_Nopol_patch_18720_1.diff,overfitting,overfitting
Math_58_dynamoth_patch_120645_9.diff,overfitting,overfitting
Mockito_29_Avatar_Patch_214053_26.diff,overfitting,overfitting
Math_28_jGenProg_patch_1414000_432.diff,overfitting,overfitting
Math_80_Avatar_Patch_2210114_1043.diff,overfitting,overfitting
Lang_58_TBar_Patch_1165102_264_cp111.diff,overfitting,overfitting
Lang_58_kPAR_Patch_2375493_292_cp212.diff,overfitting,overfitting
Closure_62_TBar_Patch_1659693_34_cp29.diff,overfitting,overfitting
Lang_58_Avatar_Patch_656254_136.diff,overfitting,overfitting
Math_58_Nopol_patch_110446_1.diff,overfitting,overfitting
Math_50_kPAR_Patch_1439097_50_cp38.diff,overfitting,overfitting
Closure_126_Avatar_Patch_253348_2.diff,overfitting,overfitting
Math_58_dynamoth_patch_120646_10.diff,overfitting,overfitting
Chart_25_jMutRepair_patch_3000_9.diff,overfitting,overfitting
Lang_58_TBar_Patch_1223833_270_cp117.diff,overfitting,overfitting
Math_33_kPAR_Patch_429473_54_cp1.diff,overfitting,overfitting
Lang_63_jKali_patch_62885_18.diff,overfitting,overfitting
Chart_25_Avatar_Patch_90948_20.diff,overfitting,overfitting
Closure_21_Nopol_patch_91606_1.diff,overfitting,overfitting
Chart_9_Nopol_patch_15720_3.diff,overfitting,overfitting
Math_63_TBar_Patch_434086_162_cp28.diff,overfitting,overfitting
Closure_13_jKali_patch_631000_355.diff,overfitting,overfitting
Lang_59_jGenProg_patch_554857_4312.diff,overfitting,overfitting
Math_85_SimFix_patch_459031_2.diff,overfitting,overfitting
Lang_33_TBar_Patch_290123_48_cp29.diff,overfitting,correct
Math_6_TBar_Patch_211151_5_cp2.diff,overfitting,overfitting
Lang_51_Avatar_Patch_1411738_147.diff,overfitting,overfitting
Closure_62_Avatar_Patch_2622255_58.diff,overfitting,overfitting
Lang_10_Avatar_Patch_330822_117.diff,overfitting,overfitting
Closure_126_TBar_Patch_291814_8_cp3.diff,overfitting,overfitting
Math_58_dynamoth_patch_132007_15.diff,overfitting,overfitting
Lang_59_jGenProg_patch_880178_6564.diff,overfitting,overfitting
Lang_58_TBar_Patch_1566872_305_cp152.diff,overfitting,overfitting
Math_85_TBar_Patch_18773_3_cp1.diff,overfitting,overfitting
Lang_59_kPAR_Patch_415734_53_cp35.diff,overfitting,overfitting
Math_33_dynamoth_patch_252136_6.diff,overfitting,overfitting
Math_50_SimFix_patch_548232_3.diff,overfitting,overfitting
Math_62_Avatar_Patch_663421_273.diff,overfitting,overfitting
Math_58_Nopol_patch_112102_2.diff,overfitting,overfitting
Lang_59_jGenProg_patch_72000_452.diff,overfitting,overfitting
Lang_58_Nopol_patch_23587_1.diff,overfitting,overfitting
Lang_58_Avatar_Patch_627259_133.diff,overfitting,overfitting
Lang_58_FixMiner_Patch_541591_154.diff,overfitting,overfitting
Math_79_TBar_Patch_1076374_285_cp126.diff,overfitting,correct
Math_50_TBar_Patch_288825_15_cp9.diff,overfitting,correct
Math_50_kPAR_Patch_1509052_56_cp40.diff,overfitting,overfitting
Closure_46_jKali_patch_106000_208.diff,overfitting,overfitting
Math_80_jKali_patch_459000_561.diff,overfitting,overfitting
Lang_58_TBar_Patch_1361180_284_cp131.diff,overfitting,overfitting
Math_50_kPAR_Patch_2278532_84_cp63.diff,overfitting,overfitting
Chart_25_dynamoth_patch_24939_4.diff,overfitting,overfitting
Math_95_jGenProg_patch_1713000_3956.diff,overfitting,overfitting
Closure_115_SimFix_patch_123565_1.diff,overfitting,correct
Chart_9_Nopol_patch_19460_8.diff,overfitting,overfitting
Chart_1_dynamoth_patch_122498_2.diff,overfitting,overfitting
Lang_58_kPAR_Patch_1989931_249_cp177.diff,overfitting,overfitting
Math_80_jKali_patch_432000_557.diff,overfitting,overfitting
Math_50_Avatar_Patch_240348_7.diff,overfitting,correct
Chart_7_kPAR_Patch_2729664_371_cp188.diff,overfitting,correct
Math_85_FixMiner_Patch_61483_7.diff,overfitting,overfitting
Lang_59_jGenProg_patch_1295686_9634.diff,overfitting,overfitting
Chart_9_Nopol_patch_13381_1.diff,overfitting,overfitting
Chart_7_jGenProg_patch_2363000_23664.diff,overfitting,overfitting
Lang_58_kPAR_Patch_2987696_348_cp268.diff,overfitting,overfitting
Math_28_jGenProg_patch_176000_76.diff,overfitting,overfitting
Time_7_Nopol_patch_562963_4.diff,overfitting,overfitting
Chart_5_kPAR_Patch_1021749_137_cp63.diff,overfitting,correct
Math_80_jKali_patch_76000_51.diff,overfitting,overfitting
Chart_5_Nopol_patch_14587_1.diff,overfitting,overfitting
Lang_55_dynamoth_patch_135426_9.diff,overfitting,overfitting
Math_50_kPAR_Patch_451952_9_cp9.diff,overfitting,overfitting
Closure_48_dynamoth_patch_187176_1.diff,overfitting,overfitting
Math_49_Nopol_patch_113660_2.diff,overfitting,overfitting
Math_53_jGenProg_patch_146000_390.diff,overfitting,correct
Math_50_kPAR_Patch_929846_29_cp23.diff,overfitting,overfitting
Math_79_TBar_Patch_1068439_284_cp125.diff,overfitting,correct
Lang_44_kPAR_Patch_550878_53_cp42.diff,overfitting,overfitting
Lang_58_TBar_Patch_1438977_292_cp139.diff,overfitting,overfitting
Math_50_Avatar_Patch_206894_6.diff,overfitting,correct
Closure_22_TBar_Patch_431420_11_cp6.diff,overfitting,overfitting
Lang_44_TBar_Patch_847882_182_cp72.diff,overfitting,overfitting
Math_58_dynamoth_patch_97060_4.diff,overfitting,overfitting
Math_84_kPAR_Patch_347437_73_cp31.diff,overfitting,overfitting
Math_50_TBar_Patch_403182_19_cp13.diff,overfitting,correct
Closure_126_Nopol_patch_72894_2.diff,overfitting,correct
Math_50_jGenProg_patch_541000_210.diff,overfitting,correct
Lang_58_TBar_Patch_1595981_308_cp155.diff,overfitting,correct
Math_50_kPAR_Patch_418558_8_cp8.diff,overfitting,correct
Lang_59_jGenProg_patch_1047811_7828.diff,overfitting,overfitting
Math_85_SimFix_patch_359541_1.diff,overfitting,overfitting
Closure_57_SimFix_patch_426210_2.diff,overfitting,overfitting
Lang_58_kPAR_Patch_3009542_350_cp270.diff,overfitting,overfitting
Math_58_dynamoth_patch_97058_3.diff,overfitting,overfitting
Math_63_FixMiner_Patch_1730971_286.diff,overfitting,overfitting
Math_79_SimFix_patch_1051148_2.diff,overfitting,overfitting
Math_33_dynamoth_patch_252130_4.diff,overfitting,overfitting
Math_96_TBar_Patch_2060798_592_cp261.diff,overfitting,overfitting
Lang_58_kPAR_Patch_955726_135_cp83.diff,overfitting,overfitting
Math_33_Nopol_patch_271830_2.diff,overfitting,overfitting
Lang_58_kPAR_Patch_1595248_209_cp141.diff,overfitting,overfitting
Chart_7_kPAR_Patch_2701925_369_cp186.diff,overfitting,overfitting
Math_28_jMutRepair_patch_0_2.diff,overfitting,overfitting
Math_33_dynamoth_patch_252146_10.diff,overfitting,overfitting
Math_80_jKali_patch_68000_49.diff,overfitting,overfitting
Closure_46_jKali_patch_135000_216.diff,overfitting,overfitting
Math_50_kPAR_Patch_1475296_55_cp39.diff,overfitting,overfitting
Math_80_jKali_patch_450000_560.diff,overfitting,overfitting
Math_81_kPAR_Patch_1222127_287_cp106.diff,overfitting,overfitting
Chart_1_dynamoth_patch_123972_3.diff,overfitting,overfitting
Math_33_kPAR_Patch_1174034_85_cp18.diff,overfitting,overfitting
Math_70_SimFix_patch_45841_2.diff,overfitting,overfitting
Math_80_jKali_patch_91000_53.diff,overfitting,overfitting
Math_8_TBar_Patch_581724_16_cp7.diff,overfitting,overfitting
Math_33_kPAR_Patch_611560_72_cp5.diff,overfitting,overfitting
Math_80_jKali_patch_61000_48.diff,overfitting,overfitting
Closure_62_jKali_patch_4000_11.diff,overfitting,overfitting
Math_58_dynamoth_patch_97065_6.diff,overfitting,overfitting
Math_33_kPAR_Patch_1087584_83_cp16.diff,overfitting,overfitting
Math_33_kPAR_Patch_655232_73_cp6.diff,overfitting,overfitting
Closure_129_jKali_patch_3000_4.diff,overfitting,overfitting
Math_28_jGenProg_patch_1250000_418.diff,overfitting,overfitting
Math_57_jMutRepair_patch_131000_23.diff,overfitting,overfitting
Closure_46_jKali_patch_126000_215.diff,overfitting,overfitting
Math_33_dynamoth_patch_252138_7.diff,overfitting,overfitting
Lang_58_kPAR_Patch_2420958_296_cp216.diff,overfitting,overfitting
Time_7_Nopol_patch_153904_2.diff,overfitting,overfitting
Math_33_dynamoth_patch_252126_3.diff,overfitting,overfitting
Math_63_SimFix_patch_65502_1.diff,overfitting,overfitting
Math_41_dynamoth_patch_1125429_153.diff,overfitting,overfitting
Chart_7_SimFix_patch_1432931_2.diff,overfitting,overfitting
Lang_55_jKali_patch_103137_21.diff,overfitting,overfitting
Math_62_kPAR_Patch_1281822_146_cp63.diff,overfitting,overfitting
Lang_58_Avatar_Patch_665945_137.diff,overfitting,overfitting
Lang_63_kPAR_Patch_35024_1_cp1.diff,overfitting,overfitting
Math_80_jKali_patch_24000_43.diff,overfitting,overfitting
Lang_57_Avatar_Patch_94070_11.diff,overfitting,overfitting
Closure_19_dynamoth_patch_56768_1.diff,overfitting,overfitting
Lang_58_FixMiner_Patch_531793_153.diff,overfitting,overfitting
Closure_62_jMutRepair_patch_16000_17.diff,overfitting,overfitting
Math_50_TBar_Patch_431204_20_cp14.diff,overfitting,overfitting
Math_58_dynamoth_patch_132002_13.diff,overfitting,overfitting
Math_50_kPAR_Patch_2981677_105_cp84.diff,overfitting,correct
Math_33_kPAR_Patch_698193_74_cp7.diff,overfitting,overfitting
Math_53_jGenProg_patch_284000_1502.diff,overfitting,correct
Lang_59_jGenProg_patch_432459_3432.diff,overfitting,overfitting
Lang_58_kPAR_Patch_2617072_314_cp234.diff,overfitting,overfitting
Chart_9_Nopol_patch_16378_4.diff,overfitting,overfitting
Math_80_Nopol_patch_18401_1.diff,overfitting,overfitting
Lang_58_Avatar_Patch_685358_139.diff,overfitting,correct
Chart_1_dynamoth_patch_120645_1.diff,overfitting,overfitting
Lang_58_TBar_Patch_1547580_303_cp150.diff,overfitting,overfitting
Mockito_29_Avatar_Patch_643309_75.diff,overfitting,overfitting
Math_8_TBar_Patch_442274_12_cp5.diff,overfitting,overfitting
Lang_59_jGenProg_patch_1116176_8312.diff,overfitting,overfitting
Math_101_dynamoth_patch_20271_1.diff,overfitting,correct
Closure_126_Nopol_patch_65105_1.diff,overfitting,overfitting
